scope,slice_type,run_id,condition,difficulty,correct_key,item_count
all_items,overall,*,*,*,A,241
all_items,overall,*,*,*,B,397
all_items,overall,*,*,*,C,303
all_items,overall,*,*,*,D,227
all_items,overall,*,*,*,MULTI,29
all_items,overall,*,*,*,UNKNOWN,3
all_items,by_condition,*,gpt/baseline,*,A,146
all_items,by_condition,*,gpt/baseline,*,B,134
all_items,by_condition,*,gpt/baseline,*,C,174
all_items,by_condition,*,gpt/baseline,*,D,146
all_items,by_condition,*,haiku/haiku,*,A,21
all_items,by_condition,*,haiku/haiku,*,B,62
all_items,by_condition,*,haiku/haiku,*,C,37
all_items,by_condition,*,haiku/haiku,*,D,21
all_items,by_condition,*,haiku/haiku,*,MULTI,8
all_items,by_condition,*,haiku/haiku,*,UNKNOWN,1
all_items,by_condition,*,haiku/local,*,A,23
all_items,by_condition,*,haiku/local,*,B,63
all_items,by_condition,*,haiku/local,*,C,35
all_items,by_condition,*,haiku/local,*,D,25
all_items,by_condition,*,haiku/local,*,MULTI,4
all_items,by_condition,*,local/haiku,*,A,21
all_items,by_condition,*,local/haiku,*,B,73
all_items,by_condition,*,local/haiku,*,C,29
all_items,by_condition,*,local/haiku,*,D,21
all_items,by_condition,*,local/haiku,*,MULTI,5
all_items,by_condition,*,local/haiku,*,UNKNOWN,1
all_items,by_condition,*,local/local,*,A,30
all_items,by_condition,*,local/local,*,B,65
all_items,by_condition,*,local/local,*,C,28
all_items,by_condition,*,local/local,*,D,14
all_items,by_condition,*,local/local,*,MULTI,12
all_items,by_condition,*,local/local,*,UNKNOWN,1
all_items,by_difficulty,*,*,,UNKNOWN,3
all_items,by_difficulty,*,*,easy,A,66
all_items,by_difficulty,*,*,easy,B,154
all_items,by_difficulty,*,*,easy,C,89
all_items,by_difficulty,*,*,easy,D,69
all_items,by_difficulty,*,*,easy,MULTI,22
all_items,by_difficulty,*,*,hard,A,87
all_items,by_difficulty,*,*,hard,B,117
all_items,by_difficulty,*,*,hard,C,115
all_items,by_difficulty,*,*,hard,D,74
all_items,by_difficulty,*,*,hard,MULTI,5
all_items,by_difficulty,*,*,medium,A,88
all_items,by_difficulty,*,*,medium,B,126
all_items,by_difficulty,*,*,medium,C,99
all_items,by_difficulty,*,*,medium,D,84
all_items,by_difficulty,*,*,medium,MULTI,2
all_items,by_condition_difficulty,*,gpt/baseline,easy,A,39
all_items,by_condition_difficulty,*,gpt/baseline,easy,B,55
all_items,by_condition_difficulty,*,gpt/baseline,easy,C,56
all_items,by_condition_difficulty,*,gpt/baseline,easy,D,50
all_items,by_condition_difficulty,*,gpt/baseline,hard,A,54
all_items,by_condition_difficulty,*,gpt/baseline,hard,B,41
all_items,by_condition_difficulty,*,gpt/baseline,hard,C,61
all_items,by_condition_difficulty,*,gpt/baseline,hard,D,44
all_items,by_condition_difficulty,*,gpt/baseline,medium,A,53
all_items,by_condition_difficulty,*,gpt/baseline,medium,B,38
all_items,by_condition_difficulty,*,gpt/baseline,medium,C,57
all_items,by_condition_difficulty,*,gpt/baseline,medium,D,52
all_items,by_condition_difficulty,*,haiku/haiku,,UNKNOWN,1
all_items,by_condition_difficulty,*,haiku/haiku,easy,A,7
all_items,by_condition_difficulty,*,haiku/haiku,easy,B,28
all_items,by_condition_difficulty,*,haiku/haiku,easy,C,5
all_items,by_condition_difficulty,*,haiku/haiku,easy,D,5
all_items,by_condition_difficulty,*,haiku/haiku,easy,MULTI,5
all_items,by_condition_difficulty,*,haiku/haiku,hard,A,7
all_items,by_condition_difficulty,*,haiku/haiku,hard,B,16
all_items,by_condition_difficulty,*,haiku/haiku,hard,C,17
all_items,by_condition_difficulty,*,haiku/haiku,hard,D,7
all_items,by_condition_difficulty,*,haiku/haiku,hard,MULTI,2
all_items,by_condition_difficulty,*,haiku/haiku,medium,A,7
all_items,by_condition_difficulty,*,haiku/haiku,medium,B,18
all_items,by_condition_difficulty,*,haiku/haiku,medium,C,15
all_items,by_condition_difficulty,*,haiku/haiku,medium,D,9
all_items,by_condition_difficulty,*,haiku/haiku,medium,MULTI,1
all_items,by_condition_difficulty,*,haiku/local,easy,A,7
all_items,by_condition_difficulty,*,haiku/local,easy,B,20
all_items,by_condition_difficulty,*,haiku/local,easy,C,11
all_items,by_condition_difficulty,*,haiku/local,easy,D,8
all_items,by_condition_difficulty,*,haiku/local,easy,MULTI,4
all_items,by_condition_difficulty,*,haiku/local,hard,A,8
all_items,by_condition_difficulty,*,haiku/local,hard,B,18
all_items,by_condition_difficulty,*,haiku/local,hard,C,15
all_items,by_condition_difficulty,*,haiku/local,hard,D,9
all_items,by_condition_difficulty,*,haiku/local,medium,A,8
all_items,by_condition_difficulty,*,haiku/local,medium,B,25
all_items,by_condition_difficulty,*,haiku/local,medium,C,9
all_items,by_condition_difficulty,*,haiku/local,medium,D,8
all_items,by_condition_difficulty,*,local/haiku,,UNKNOWN,1
all_items,by_condition_difficulty,*,local/haiku,easy,A,4
all_items,by_condition_difficulty,*,local/haiku,easy,B,26
all_items,by_condition_difficulty,*,local/haiku,easy,C,13
all_items,by_condition_difficulty,*,local/haiku,easy,D,3
all_items,by_condition_difficulty,*,local/haiku,easy,MULTI,4
all_items,by_condition_difficulty,*,local/haiku,hard,A,8
all_items,by_condition_difficulty,*,local/haiku,hard,B,21
all_items,by_condition_difficulty,*,local/haiku,hard,C,10
all_items,by_condition_difficulty,*,local/haiku,hard,D,9
all_items,by_condition_difficulty,*,local/haiku,hard,MULTI,1
all_items,by_condition_difficulty,*,local/haiku,medium,A,9
all_items,by_condition_difficulty,*,local/haiku,medium,B,26
all_items,by_condition_difficulty,*,local/haiku,medium,C,6
all_items,by_condition_difficulty,*,local/haiku,medium,D,9
all_items,by_condition_difficulty,*,local/local,,UNKNOWN,1
all_items,by_condition_difficulty,*,local/local,easy,A,9
all_items,by_condition_difficulty,*,local/local,easy,B,25
all_items,by_condition_difficulty,*,local/local,easy,C,4
all_items,by_condition_difficulty,*,local/local,easy,D,3
all_items,by_condition_difficulty,*,local/local,easy,MULTI,9
all_items,by_condition_difficulty,*,local/local,hard,A,10
all_items,by_condition_difficulty,*,local/local,hard,B,21
all_items,by_condition_difficulty,*,local/local,hard,C,12
all_items,by_condition_difficulty,*,local/local,hard,D,5
all_items,by_condition_difficulty,*,local/local,hard,MULTI,2
all_items,by_condition_difficulty,*,local/local,medium,A,11
all_items,by_condition_difficulty,*,local/local,medium,B,19
all_items,by_condition_difficulty,*,local/local,medium,C,12
all_items,by_condition_difficulty,*,local/local,medium,D,6
all_items,by_condition_difficulty,*,local/local,medium,MULTI,1
all_items,by_run,20260330_003121Z_local_local,*,*,A,9
all_items,by_run,20260330_003121Z_local_local,*,*,B,25
all_items,by_run,20260330_003121Z_local_local,*,*,C,4
all_items,by_run,20260330_003121Z_local_local,*,*,D,3
all_items,by_run,20260330_003121Z_local_local,*,*,MULTI,9
all_items,by_run,20260330_030124Z_local_local,*,*,A,11
all_items,by_run,20260330_030124Z_local_local,*,*,B,19
all_items,by_run,20260330_030124Z_local_local,*,*,C,12
all_items,by_run,20260330_030124Z_local_local,*,*,D,6
all_items,by_run,20260330_030124Z_local_local,*,*,MULTI,1
