condition,difficulty,run_id,duration_str,duration_hours,local_stage_share,estimated_local_compute_usd,estimated_api_cost_usd,estimated_combined_machine_cost_usd,notes
local/local,medium,20260330_030124Z_local_local,"1h 23m 50s",1.3972,1.0000,0.0734,0.0000,0.0734,"All three modeled stages treated as local."
local/local,hard,20260330_042518Z_local_local,"1h 33m 25s",1.5569,1.0000,0.0817,0.0000,0.0817,"All three modeled stages treated as local."
local/haiku,easy,20260330_055848Z_local_haiku,"1h 22m 22s",1.3728,0.6667,0.0480,0.0652,0.1132,"Local ingest + local generate + frontier review."
local/haiku,medium,20260330_072114Z_local_haiku,"1h 27m 34s",1.4594,0.6667,0.0511,0.0652,0.1163,"Local ingest + local generate + frontier review."
local/haiku,hard,20260330_084853Z_local_haiku,"1h 43m 43s",1.7286,0.6667,0.0605,0.0652,0.1257,"Local ingest + local generate + frontier review."
haiku/local,easy,20260330_103241Z_haiku_local,"1h 20m 57s",1.3492,0.6667,0.0472,0.0856,0.1328,"Local ingest + frontier generate + local review."
haiku/local,medium,20260330_115342Z_haiku_local,"1h 26m 36s",1.4433,0.6667,0.0505,0.0856,0.1361,"Local ingest + frontier generate + local review."
haiku/local,hard,20260330_132022Z_haiku_local,"1h 39m 56s",1.6656,0.6667,0.0583,0.0856,0.1439,"Local ingest + frontier generate + local review."
haiku/haiku,easy,20260330_150022Z_haiku_haiku,"1h 33m 49s",1.5636,0.3333,0.0274,0.1508,0.1782,"Local ingest + frontier generate + frontier review."
haiku/haiku,medium,20260330_163416Z_haiku_haiku,"1h 45m 17s",1.7547,0.3333,0.0307,0.1508,0.1815,"Local ingest + frontier generate + frontier review."
haiku/haiku,hard,20260330_181938Z_haiku_haiku,"1h 58m 33s",1.9758,0.3333,0.0346,0.1508,0.1854,"Local ingest + frontier generate + frontier review."
